2026-03-16 15:43:37,677 [tgat] INFO: T-GAT initialized: features=21, hidden=64, output=64, layers=2, heads=4
2026-03-16 15:43:55,911 [tgat] INFO: T-GAT initialized: features=21, hidden=64, output=64, layers=2, heads=4
2026-03-16 15:44:28,890 [tgat] INFO: T-GAT initialized: features=21, hidden=64, output=64, layers=2, heads=4
2026-03-16 15:46:26,714 [tgat] INFO: T-GAT initialized: features=21, hidden=64, output=64, layers=2, heads=4
2026-03-16 15:46:26,721 [tgat] INFO: T-GAT initialized: features=21, hidden=64, output=64, layers=2, heads=4
2026-03-16 15:46:26,725 [tgat] INFO: T-GAT initialized: features=10, hidden=32, output=16, layers=1, heads=2
2026-03-16 15:46:26,733 [tgat] INFO: T-GAT initialized: features=21, hidden=64, output=64, layers=2, heads=4
2026-03-16 15:46:26,739 [tgat] INFO: T-GAT initialized: features=21, hidden=64, output=64, layers=2, heads=4
2026-03-16 15:46:26,783 [tgat] INFO: T-GAT initialized: features=21, hidden=64, output=64, layers=2, heads=4
2026-03-16 15:46:26,795 [tgat] INFO: T-GAT initialized: features=21, hidden=64, output=64, layers=2, heads=4
2026-03-16 15:46:26,823 [tgat] INFO: T-GAT initialized: features=21, hidden=64, output=64, layers=2, heads=4
2026-03-16 15:46:26,835 [tgat] INFO: T-GAT initialized: features=21, hidden=64, output=64, layers=2, heads=4
2026-03-16 15:46:26,913 [tgat] INFO: T-GAT initialized: features=21, hidden=64, output=64, layers=2, heads=4
2026-03-16 15:46:27,003 [tgat] INFO: T-GAT initialized: features=21, hidden=64, output=64, layers=2, heads=4
2026-03-16 15:46:27,015 [tgat] INFO: T-GAT initialized: features=21, hidden=64, output=64, layers=2, heads=4
2026-03-16 15:46:27,029 [tgat] INFO: T-GAT initialized: features=21, hidden=64, output=64, layers=2, heads=4
2026-03-16 15:46:27,038 [tgat] INFO: T-GAT initialized: features=21, hidden=64, output=64, layers=2, heads=4
2026-03-16 15:46:27,045 [tgat] INFO: T-GAT initialized: features=21, hidden=64, output=64, layers=2, heads=4
2026-03-16 15:46:28,110 [tgat] INFO: T-GAT initialized: features=21, hidden=64, output=64, layers=2, heads=4
2026-03-16 15:46:28,116 [tgat] INFO: T-GAT initialized: features=21, hidden=64, output=64, layers=2, heads=4
2026-03-16 15:46:28,123 [tgat] INFO: T-GAT initialized: features=21, hidden=32, output=32, layers=2, heads=4
2026-03-16 15:46:28,222 [tgat] INFO: T-GAT initialized: features=21, hidden=64, output=64, layers=2, heads=4
2026-03-16 15:46:54,479 [tgat] INFO: T-GAT initialized: features=21, hidden=64, output=64, layers=2, heads=4
2026-03-16 15:46:54,483 [tgat] INFO: T-GAT initialized: features=21, hidden=64, output=64, layers=2, heads=4
2026-03-16 15:46:54,487 [tgat] INFO: T-GAT initialized: features=10, hidden=32, output=16, layers=1, heads=2
2026-03-16 15:46:54,496 [tgat] INFO: T-GAT initialized: features=21, hidden=64, output=64, layers=2, heads=4
2026-03-16 15:46:54,500 [tgat] INFO: T-GAT initialized: features=21, hidden=64, output=64, layers=2, heads=4
2026-03-16 15:46:54,533 [tgat] INFO: T-GAT initialized: features=21, hidden=64, output=64, layers=2, heads=4
2026-03-16 15:46:54,545 [tgat] INFO: T-GAT initialized: features=21, hidden=64, output=64, layers=2, heads=4
2026-03-16 15:46:54,564 [tgat] INFO: T-GAT initialized: features=21, hidden=64, output=64, layers=2, heads=4
2026-03-16 15:46:54,574 [tgat] INFO: T-GAT initialized: features=21, hidden=64, output=64, layers=2, heads=4
2026-03-16 15:46:54,610 [tgat] INFO: T-GAT initialized: features=21, hidden=64, output=64, layers=2, heads=4
2026-03-16 15:46:54,657 [tgat] INFO: T-GAT initialized: features=21, hidden=64, output=64, layers=2, heads=4
2026-03-16 15:46:54,665 [tgat] INFO: T-GAT initialized: features=21, hidden=64, output=64, layers=2, heads=4
2026-03-16 15:46:54,675 [tgat] INFO: T-GAT initialized: features=21, hidden=64, output=64, layers=2, heads=4
2026-03-16 15:46:54,681 [tgat] INFO: T-GAT initialized: features=21, hidden=64, output=64, layers=2, heads=4
2026-03-16 15:46:54,686 [tgat] INFO: T-GAT initialized: features=21, hidden=64, output=64, layers=2, heads=4
2026-03-16 15:46:55,034 [tgat] INFO: T-GAT initialized: features=21, hidden=64, output=64, layers=2, heads=4
2026-03-16 15:46:55,040 [tgat] INFO: T-GAT initialized: features=21, hidden=64, output=64, layers=2, heads=4
2026-03-16 15:46:55,045 [tgat] INFO: T-GAT initialized: features=21, hidden=32, output=32, layers=2, heads=4
2026-03-16 15:46:55,131 [tgat] INFO: T-GAT initialized: features=21, hidden=64, output=64, layers=2, heads=4
2026-03-16 15:47:07,167 [tgat] INFO: T-GAT initialized: features=21, hidden=64, output=64, layers=2, heads=4
2026-03-16 15:47:07,174 [tgat] INFO: T-GAT initialized: features=21, hidden=64, output=64, layers=2, heads=4
2026-03-16 15:47:07,178 [tgat] INFO: T-GAT initialized: features=10, hidden=32, output=16, layers=1, heads=2
2026-03-16 15:47:07,186 [tgat] INFO: T-GAT initialized: features=21, hidden=64, output=64, layers=2, heads=4
2026-03-16 15:47:07,193 [tgat] INFO: T-GAT initialized: features=21, hidden=64, output=64, layers=2, heads=4
2026-03-16 15:47:07,232 [tgat] INFO: T-GAT initialized: features=21, hidden=64, output=64, layers=2, heads=4
2026-03-16 15:47:07,244 [tgat] INFO: T-GAT initialized: features=21, hidden=64, output=64, layers=2, heads=4
2026-03-16 15:47:07,265 [tgat] INFO: T-GAT initialized: features=21, hidden=64, output=64, layers=2, heads=4
2026-03-16 15:47:07,277 [tgat] INFO: T-GAT initialized: features=21, hidden=64, output=64, layers=2, heads=4
2026-03-16 15:47:07,314 [tgat] INFO: T-GAT initialized: features=21, hidden=64, output=64, layers=2, heads=4
2026-03-16 15:47:07,372 [tgat] INFO: T-GAT initialized: features=21, hidden=64, output=64, layers=2, heads=4
2026-03-16 15:47:07,381 [tgat] INFO: T-GAT initialized: features=21, hidden=64, output=64, layers=2, heads=4
2026-03-16 15:47:07,393 [tgat] INFO: T-GAT initialized: features=21, hidden=64, output=64, layers=2, heads=4
2026-03-16 15:47:07,399 [tgat] INFO: T-GAT initialized: features=21, hidden=64, output=64, layers=2, heads=4
2026-03-16 15:47:07,405 [tgat] INFO: T-GAT initialized: features=21, hidden=64, output=64, layers=2, heads=4
2026-03-16 15:47:07,787 [tgat] INFO: T-GAT initialized: features=21, hidden=64, output=64, layers=2, heads=4
2026-03-16 15:47:07,793 [tgat] INFO: T-GAT initialized: features=21, hidden=64, output=64, layers=2, heads=4
2026-03-16 15:47:07,799 [tgat] INFO: T-GAT initialized: features=21, hidden=32, output=32, layers=2, heads=4
2026-03-16 15:47:07,895 [tgat] INFO: T-GAT initialized: features=21, hidden=64, output=64, layers=2, heads=4
2026-03-16 16:10:16,277 [tgat] INFO: T-GAT initialized: features=21, hidden=64, output=64, layers=2, heads=4
2026-03-16 16:10:16,293 [tgat] INFO: T-GAT initialized: features=21, hidden=64, output=64, layers=2, heads=4
2026-03-16 16:10:16,301 [tgat] INFO: T-GAT initialized: features=10, hidden=32, output=16, layers=1, heads=2
2026-03-16 16:10:16,317 [tgat] INFO: T-GAT initialized: features=21, hidden=64, output=64, layers=2, heads=4
2026-03-16 16:10:16,326 [tgat] INFO: T-GAT initialized: features=21, hidden=64, output=64, layers=2, heads=4
2026-03-16 16:10:16,405 [tgat] INFO: T-GAT initialized: features=21, hidden=64, output=64, layers=2, heads=4
2026-03-16 16:10:16,422 [tgat] INFO: T-GAT initialized: features=21, hidden=64, output=64, layers=2, heads=4
2026-03-16 16:10:16,457 [tgat] INFO: T-GAT initialized: features=21, hidden=64, output=64, layers=2, heads=4
2026-03-16 16:10:16,473 [tgat] INFO: T-GAT initialized: features=21, hidden=64, output=64, layers=2, heads=4
2026-03-16 16:10:16,575 [tgat] INFO: T-GAT initialized: features=21, hidden=64, output=64, layers=2, heads=4
2026-03-16 16:10:16,663 [tgat] INFO: T-GAT initialized: features=21, hidden=64, output=64, layers=2, heads=4
2026-03-16 16:10:16,676 [tgat] INFO: T-GAT initialized: features=21, hidden=64, output=64, layers=2, heads=4
2026-03-16 16:10:16,696 [tgat] INFO: T-GAT initialized: features=21, hidden=64, output=64, layers=2, heads=4
2026-03-16 16:10:16,708 [tgat] INFO: T-GAT initialized: features=21, hidden=64, output=64, layers=2, heads=4
2026-03-16 16:10:16,721 [tgat] INFO: T-GAT initialized: features=21, hidden=64, output=64, layers=2, heads=4
2026-03-16 16:10:17,834 [tgat] INFO: T-GAT initialized: features=21, hidden=64, output=64, layers=2, heads=4
2026-03-16 16:10:17,840 [tgat] INFO: T-GAT initialized: features=21, hidden=64, output=64, layers=2, heads=4
2026-03-16 16:10:17,883 [tgat] INFO: T-GAT initialized: features=21, hidden=32, output=32, layers=2, heads=4
